latitude;longitude;nome;municipio;UF;pop_max
-5,84;-42,57;OLHO D'AGUA DO PIAUI - PI;OLHO D'AGUA DO PIAUI;PI;4 272
-10,05;-36,81;OLHO D'AGUA GRANDE - AL;OLHO D'AGUA GRANDE;AL;3 527
-5,95;-37,7;OLHO-D'AGUA DO BORGES - RN;OLHO-D'AGUA DO BORGES;RN;3 568
-17,39;-43,57;OLHOS-D'AGUA - MG;OLHOS-D'AGUA;MG;26 975
-20,73;-48,91;OLIMPIA - SP;OLIMPIA;SP;103 804
-22,06;-45,26;OLIMPIO NORONHA - MG;OLIMPIO NORONHA;MG;227 646
-8;-34,85;OLINDA - PE;OLINDA;PE;38 324
-2,99;-44,99;OLINDA NOVA DO MARANHAO - MA;OLINDA NOVA DO MARANHAO;MA;11 162
-11,36;-38,33;OLINDINA - BA;OLINDINA;BA;2 643
-6,99;-36,24;OLIVEDOS - PB;OLIVEDOS;PB;3 349
-20,69;-44,82;OLIVEIRA - MG;OLIVEIRA;MG;7 667
-10,7;-48,9;OLIVEIRA DE FATIMA - TO;OLIVEIRA DE FATIMA;TO;4 721
-12,31;-42,89;OLIVEIRA DOS BREJINHOS - BA;OLIVEIRA DOS BREJINHOS;BA;3 125
-21,33;-43,45;OLIVEIRA FORTES - MG;OLIVEIRA FORTES;MG;2 230
-9,51;-37,19;OLIVENCA - AL;OLIVENCA;AL;10 020
-19,73;-44,8;ONCA DE PITANGUI - MG;ONCA DE PITANGUI;MG;3 198
-20,6;-49,29;ONDA VERDE - SP;ONDA VERDE;SP;6 520
-20,43;-42,8;ORATORIOS - MG;ORATORIOS;MG;27 545
-22,15;-50,09;ORIENTE - SP;ORIENTE;SP;10 275
-20,18;-49,35;ORINDIUVA - SP;ORINDIUVA;SP;6 097
-1,76;-55,86;ORIXIMINA - PA;ORIXIMINA;PA;3 716
-20,5;-42,21;ORIZANIA - MG;ORIZANIA;MG;33 638
-17,03;-48,29;ORIZONA - GO;ORIZONA;GO;60 732
-20,72;-47,88;ORLANDIA - SP;ORLANDIA;SP;2 827
-28,35;-49,29;ORLEANS - SC;ORLEANS;SC;2 015
-7,74;-35,6;OROBO - PE;OROBO;PE;6 919
-8,62;-39,6;OROCO - PE;OROCO;PE;2 146
-6,24;-38,91;OROS - CE;OROS;CE;10 660
-24,2;-50,94;ORTIGUEIRA - PR;ORTIGUEIRA;PR;1 646
-23,53;-46,79;OSASCO - SP;OSASCO;SP;4 571
-22,31;-50,28;OSCAR BRESSANE - SP;OSCAR BRESSANE;SP;7 391
-29,88;-50,27;OSORIO - RS;OSORIO;RS;52 229
-21,79;-50,87;OSVALDO CRUZ - SP;OSVALDO CRUZ;SP;24 493
-27,48;-50,12;OTACILIO COSTA - SC;OTACILIO COSTA;SC;4 331
-1,54;-47,11;OUREM - PA;OUREM;PA;38 161
-12,01;-38,61;OURICANGAS - BA;OURICANGAS;BA;33 844
-7,88;-40,08;OURICURI - PE;OURICURI;PE;27 482
-6,75;-51,08;OURILANDIA DO NORTE - PA;OURILANDIA DO NORTE;PA;1 945
-22,97;-49,87;OURINHOS - SP;OURINHOS;SP;2 512
-23,4;-52,19;OURIZONA - PR;OURIZONA;PR;6 060
-27,34;-51,61;OURO - SC;OURO;SC;17 919
-9,16;-37,35;OURO BRANCO - AL;OURO BRANCO;AL;20 695
-20,52;-43,69;OURO BRANCO - MG;OURO BRANCO;MG;8 349
-6,7;-36,94;OURO BRANCO - RN;OURO BRANCO;RN;2 637
-22,28;-46,36;OURO FINO - MG;OURO FINO;MG;4 330
-20,28;-43,5;OURO PRETO - MG;OURO PRETO;MG;3 905
-10,71;-62,24;OURO PRETO DO OESTE - RO;OURO PRETO DO OESTE;RO;5 385
-7,62;-37,15;OURO VELHO - PB;OURO VELHO;PB;55 074
-26,69;-52,31;OURO VERDE - SC;OURO VERDE;SC;2 555
-21,48;-51,7;OURO VERDE - SP;OURO VERDE;SP;349 976
-16,22;-49,19;OURO VERDE DE GOIAS - GO;OURO VERDE DE GOIAS;GO;13 577
-18,07;-41,27;OURO VERDE DE MINAS - MG;OURO VERDE DE MINAS;MG;22 633
-24,8;-53,9;OURO VERDE DO OESTE - PR;OURO VERDE DO OESTE;PR;3 580
-20;-50,37;OUROESTE - SP;OUROESTE;SP;39 262
-10,97;-41,08;OUROLANDIA - BA;OUROLANDIA;BA;1 164
-18,23;-47,83;OUVIDOR - GO;OUVIDOR;GO;20 715
-21,56;-51,26;PACAEMBU - SP;PACAEMBU;SP;2 027
-3,83;-50,63;PACAJA - PA;PACAJA;PA;10 812
-4,17;-38,46;PACAJUS - CE;PACAJUS;CE;2 969
4,43;-61,14;PACARAIMA - RR;PACARAIMA;RR;4 771
-3,98;-38,62;PACATUBA - CE;PACATUBA;CE;4 917
-10,45;-36,65;PACATUBA - SE;PACATUBA;SE;6 085
-2,53;-44,1;PACO DO LUMIAR - MA;PACO DO LUMIAR;MA;6 024
-4,22;-38,92;PACOTI - CE;PACOTI;CE;68 294
-3,98;-40,69;PACUJA - CE;PACUJA;CE;8 437
-15,16;-48,28;PADRE BERNARDO - GO;PADRE BERNARDO;GO;16 399
-16,36;-42,51;PADRE CARVALHO - MG;PADRE CARVALHO;MG;38 319
-7,35;-40,9;PADRE MARCOS - PI;PADRE MARCOS;PI;23 661
-17,07;-41,52;PADRE PARAISO - MG;PADRE PARAISO;MG;21 808
-7,77;-42,25;PAES LANDIM - PI;PAES LANDIM;PI;13 613
-15,51;-43,06;PAI PEDRO - MG;PAI PEDRO;MG;19 675
-27,25;-52,49;PAIAL - SC;PAIAL;SC;24 192
-23,45;-52,04;PAICANDU - PR;PAICANDU;PR;728 615
-27,71;-51,76;PAIM FILHO - RS;PAIM FILHO;RS;2 470
-18,9;-45,53;PAINEIRAS - MG;PAINEIRAS;MG;47 396
-27,92;-50,1;PAINEL - SC;PAINEL;SC;31 272
-20,37;-45,66;PAINS - MG;PAINS;MG;17 312
-21,28;-43,41;PAIVA - MG;PAIVA;MG;17 855
-7,85;-42,82;PAJEU DO PIAUI - PI;PAJEU DO PIAUI;PI;7 716
-9,67;-37,32;PALESTINA - AL;PALESTINA;AL;65 245
-20,39;-49,43;PALESTINA - SP;PALESTINA;SP;32 467
-16,73;-51,53;PALESTINA DE GOIAS - GO;PALESTINA DE GOIAS;GO;103 970
-5,74;-48,31;PALESTINA DO PARA - PA;PALESTINA DO PARA;PA;3 187
-4,74;-37,95;PALHANO - CE;PALHANO;CE;7 032
-27,64;-48,66;PALHOCA - SC;PALHOCA;SC;38 724
-21,37;-42,31;PALMA - MG;PALMA;MG;11 446
-26,34;-53,27;PALMA SOLA - SC;PALMA SOLA;SC;4 913
